f,S_ML
6720,437.4763788
6740,519.7331647
6760,572.5972803
6780,625.5869878
6800,487.5345696
6820,469.9133559
6840,358.4495527
6860,409.3021413
6880,500.7240425
6900,484.6647601
6920,476.0574152
6940,522.555323
6960,467.7564989
6980,572.6612682
7000,589.0248424
7020,507.1195931
7040,580.4042269
7060,655.687977
7080,499.5792259
7100,414.0316219
7120,419.7856393
7140,448.6968235
7160,438.1581272
7180,464.0199801
7200,594.3924454
7220,499.1424882
7240,360.9251819
7260,337.9977089
7280,387.0349556
7300,529.3137665
7320,513.7079366
7340,511.9635706
7360,478.184626
7380,465.6184995
7400,568.0918754
7420,545.6953933
7440,443.7673398
7460,515.9942128
7480,592.1279337
7500,666.6581991
7520,424.4120784
7540,400.7816615
7560,549.0460645
7580,520.6382606
7600,383.4260173
7620,355.5536763
7640,320.2786991
7660,338.4506024
7680,426.1742405
7700,582.3002865
7720,519.6637709
7740,393.4286928
7760,383.373228
7780,397.714514
7800,430.7125771
7820,418.6066078
7840,523.6142065
7860,472.2562668
7880,397.6286849
7900,464.2288232
7920,454.7670553
7940,571.7322865
7960,612.4065849
7980,579.3259554
8000,434.1636078
8020,449.2059825
8040,490.7164648
8060,418.4127115
8080,402.3043894
8100,471.6108893
8120,438.1309994
8140,559.4250984
8160,518.6482438
8180,385.5882835
8200,389.3037189
8220,482.8481062
8240,502.9497412
8260,452.0254861
8280,530.0971163
8300,439.9354392
8320,270.3898104
8340,439.1174314
8360,517.6699311
8380,484.4117515
8400,355.1808375
8420,366.6884521
8440,534.4441433
8460,574.4848217
8480,436.0653163
8500,481.3162985
8520,660.6298668
8540,423.7513648
8560,377.6742926
8580,431.7331797
8600,455.6988919
8620,441.3666102
8640,453.8526188
8660,442.1357383
8680,461.2352415
8700,436.74283
8720,509.2973822
8740,591.8266724
8760,423.3390196
8780,374.0826364
8800,463.2919175
8820,504.0150721
8840,387.6011213
8860,350.2231905
8880,327.8604432
8900,460.7782943
8920,462.6794977
8940,304.8114782
8960,319.2022459
8980,443.0556439
9000,422.667259
9020,424.2133819
9040,536.7186462
9060,344.1116267
9080,347.1139747
9100,496.3082147
9120,458.5568263
9140,355.9145988
9160,327.7578575
9180,308.6956934
9200,347.6379641
9220,311.3157822
9240,465.516095
9260,508.9983149
9280,337.1195642
9300,352.5431329
9320,380.8596972
9340,475.9449244
9360,453.7308969
9380,400.9500835
9400,371.24777
9420,437.9744452
9440,283.630093
9460,316.8697267
9480,442.2589232
9500,418.2656929
9520,399.239282
9540,416.4303031
9560,414.9303409
9580,426.9881671
9600,377.4793575
9620,345.475714
9640,502.6682827
9660,655.4868285
9680,601.3032266
9700,393.3672859
9720,428.9582791
9740,497.8142327
9760,429.2565323
9780,414.4769914
9800,359.4294998
9820,378.7817441
9840,282.0292666
9860,333.6087273
9880,426.3009215
9900,392.5312334
9920,293.5547662
9940,364.5032039
9960,357.0258243
9980,332.6824975
10000,460.1398667
10000,276.7720342
10200,286.6450471
10400,294.8360292
10600,378.1292203
10800,363.2575264
11000,297.6679758
11200,300.4298731
11400,318.1139424
11600,331.3973395
11800,379.9226265
12000,350.692439
12200,303.6115275
12400,268.6024349
12600,287.0586752
12800,411.8219212
13000,431.4225185
13200,303.1913255
13400,352.8009763
13600,327.0136233
13800,307.6541608
14000,363.5563617
14200,298.3241257
14400,299.9585335
14600,311.7761821
14800,263.4909396
15000,253.9118277
15200,266.1918203
15400,263.98951
15600,294.7590404
15800,300.0405634
16000,318.064789
16200,321.8428824
16400,229.6409277
16600,183.2567314
16800,194.7061623
17000,210.1276088
17200,243.5681485
17400,243.6394762
17600,686.7300646
17800,2582.764385
18000,1002.726436
18200,267.8899496
18400,233.6371862
18600,322.5986705
18800,283.5280101
19000,248.1496682
19200,186.8401394
19400,253.8724389
19600,255.6932439
19800,250.1786595
20000,232.8633577
20200,214.0055344
20400,296.8592885
20600,214.9098826
20800,246.5100964
21000,272.390037
21200,305.6300091
21400,284.0781479
21600,210.4623336
21800,158.2534311
22000,176.0699171
22200,163.8434048
22400,162.5766528
22600,184.6536102
