f,S_rock
702,2393.277254
704,2505.459077
706,3659.879023
708,3453.818281
710,3195.79195
712,2405.36249
714,2520.984551
716,4196.78604
718,3529.085668
720,3140.969952
722,2933.406338
724,2492.084475
726,2768.407572
728,2374.289344
730,4171.845881
732,3528.410728
734,3272.565908
736,2572.72027
738,3432.626159
740,2804.934464
742,2997.283063
744,3150.896063
746,2575.082833
748,2206.562877
750,1876.87687
752,2454.433941
754,2626.463178
756,3313.269642
758,3953.917666
760,2638.645843
762,2512.864607
764,3051.521347
766,2293.602285
768,1783.665904
770,1572.665355
772,2099.699032
774,2562.990053
776,3173.702757
778,3323.328453
780,4731.396585
782,3145.654988
784,3850.860879
786,3332.203218
788,3092.527043
790,1952.524463
792,2152.423557
794,3445.166416
796,2773.181658
798,3005.4007
800,3205.550025
802,3044.62294
804,2271.05726
806,2819.742221
808,2563.02053
810,5099.502642
812,5629.480942
814,4039.507884
816,3303.849351
818,3075.243716
820,2438.304405
822,3309.879821
824,2877.793964
826,2992.620395
828,3828.564383
830,3475.143176
832,3112.937294
834,3429.397748
836,2419.040182
838,2747.053384
840,3589.583626
842,1619.60328
844,2638.47664
846,3878.169398
848,3056.153369
850,4382.755647
852,2833.5713
854,2762.361759
856,3817.88324
858,3297.335812
860,4921.835572
862,4222.15088
864,2606.431681
866,2728.420634
868,2789.349545
870,3239.330429
872,2222.626981
874,2687.023873
876,3748.801368
878,4092.530143
880,5553.630431
882,3739.103586
884,3975.369333
886,4232.981476
888,4240.313421
890,2119.192868
892,2756.596721
894,5858.330881
896,5026.471387
898,4470.447612
900,4370.344746
902,1617.30687
904,2366.696498
906,2835.909381
908,3235.148746
910,3244.541167
912,4194.179722
914,3790.487239
916,3570.652018
918,3295.839782
920,4969.750027
922,3327.757434
924,2460.317731
926,2568.695837
928,3527.318914
930,2557.081967
932,2747.738561
934,3331.401347
936,2471.129436
938,2951.064056
940,3219.472425
942,2015.657461
944,4690.06305
946,4133.131195
948,2851.72661
950,3802.12492
952,4066.063604
954,3712.076786
956,2884.640353
958,2863.846449
960,3217.994847
962,2715.615936
964,2001.1015
966,3214.04103
968,3444.060681
970,3906.175125
972,4911.595492
974,2566.304392
976,1879.218338
978,3156.485105
980,2989.077117
982,3093.650477
984,2302.147093
986,1906.805492
988,2019.452335
990,3743.807974
992,3411.367603
994,2179.130792
996,2720.751143
998,2769.77459
1000,2764.465117
1000,3180.335119
1020,2817.563048
1040,2706.377026
1060,2706.345396
1080,2739.393427
1100,2542.643916
1120,2403.732625
1140,2624.265567
1160,3253.016435
1180,3105.776613
1200,2452.943441
1220,2980.439542
1240,2399.361328
1260,2914.401279
1280,2644.547184
1300,2829.201206
1320,2370.147045
1340,2291.376251
1360,2683.922042
1380,2251.356641
1400,2208.045627
